id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
640203,64,29,นาย,ชูศักดิ์,  คีรีมาศทอง,M,59,"รับจ้าง,สมาชิกสภาผู้แทนราษฎร",ปริญญาตรี,31314,37.11377,1
640204,64,32,นาย,เอนก,  ตุ๊ดกัน,M,55,ธุรกิจส่วนตัว,ปริญญาตรี,398,0.47171,8
640205,64,22,นาย,ศุภชัย,  โตนดดง,M,64,"ธุรกิจส่วนตัว,เกษตรกร",ปริญญาตรี,2005,2.37635,5
640206,64,25,นาย,นทีกานต์,  ยิ้มยวน,M,49,ทำนา,ต่ำกว่าปริญญาตรี,653,0.77394,6
640207,64,31,นาย,วศินภัทร์,  กิตตินันท์พาณิช,M,42,นักการเมืองท้องถิ่น,ปริญญาตรี,19781,23.4447,2
640208,64,7,นาย,ชยุตม์,  วุฒิสารเจริญ,M,30,เลขานุการเทศบาลตำบลบ้านโตนด,ปริญญาตรี,5498,6.5163,4
640209,64,21,นาย,พิสิฐ,  บัวแก้ว,M,64,เกษตรกร,ปริญญาตรี,227,0.26904,9
640210,64,61,นางสาว,ธัญลักษณ์,  แม้นอินทร์,F,45,ค้าขาย,ปริญญาตรี,95,0.1126,10
640301,64,26,นาย,นราธิป,  ภูมิถาวร,M,40,"เกษตรกร,ธุรกิจส่วนตัว",ปริญญาตรี,578,0.63069,6
640302,64,7,นาย,สมเจตน์,  ลิมปะพันธุ์,M,54,นักการเมือง,ปริญญาโท,24982,27.25953,2
640303,64,32,พันโท,พรชัย,  แสงสว่าง,M,68,รับราชการทหาร,ปริญญาตรี,432,0.47138,7
640304,64,37,นาย,อารยะ,  ชุมดวง,M,68,นักธุรกิจ,ปริญญาตรี,13570,14.80714,3
640305,64,29,นางสาว,ประภาพร,  ทองปากน้ำ,F,36,ธุรกิจส่วนตัว,ปริญญาโท,33259,36.29112,1
640306,64,25,ร้อยตำรวจเอก,สรวิศ,  เฟื่องมณี,M,62,รับราชการตำรวจ,ปริญญาตรี,167,0.18222,8
640307,64,31,นาง,กัญญาวีร์,  ทองสงค์,F,48,รับจ้างทั่วไป,ปริญญาตรี,11647,12.70882,4
640308,64,22,นาย,พิทยา,  ทับทิมไทย,M,60,พนักงานธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,ปริญญาตรี,1381,1.5069,5
640401,64,26,นาย,รวม,  ล้นเหลือ,M,48,ธุรกิจส่วนตัว,ปริญญาตรี,1837,2.04709,6
640402,64,7,นาย,ทินพัฒน์,  เรืองฤทธิ์,M,40,ค้าขาย,ปริญญาโท,16797,18.71803,3
640403,64,22,ร้อยตำรวจเอกหญิง,สมหวัง,  หมีเทศ,F,64,ธุรกิจส่วนตัว,ปริญญาตรี,3140,3.49911,5
640404,64,24,นาย,ไชยา,  บุญเกิด,M,54,การเกษตร,ปริญญาตรี,5165,5.75571,4
